"String Length: 30","Deviate Length: 0"
"Number Of Strings","Tri-Quick Sort",""Tri-Quick Sort NR",""American Flag",""Two Array","strSwapStable"
560,0.196787580544455,0.187289166639894,0.10683201356597,0.10878756936985,0.757752731143204
570,0.224165361798776,0.194832024740575,0.119962173963451,0.11297804609245,0.815581309915087
580,0.200698692152215,0.189803452673454,0.11213995074793,0.11241931586277,0.885143223510251
590,0.29428600562362,0.191479643362494,0.11437487166665,0.11660979258537,0.929562276769813
600,0.209638375827095,0.200698692152215,0.11577169724085,0.120520904193131,0.942971802282134
610,0.30713680090626,0.207124089793535,0.11660979258537,0.122476459997011,0.853295600418489
620,0.213549487434856,0.202374882841255,0.118285983274411,0.123035190226691,0.835974963298408
630,0.282552670800339,0.30238759395398,0.120520904193131,0.123873285571211,0.951911485957014
640,0.227797108291696,0.215225678123896,0.123035190226691,0.128063762293811,0.901346400170971
650,0.223885996683936,0.3046225148727,0.123035190226691,0.132533604131251,0.927606720965933
660,0.231987585014297,0.225282822258136,0.126387571604771,0.131695508786731,0.928724181425293
670,0.228635203636216,0.218019329272296,0.126946301834451,0.167454243486253,1.00359403220242
680,0.332279661241862,0.237295522196257,0.129181222753171,0.142590748265492,0.958895613828014
690,0.239530443114977,0.227517743176856,0.131974873901571,0.140914557576452,0.970628948651295
700,0.247911396560177,0.235898696622057,0.133651064590611,0.142870113380332,0.987949585771376
710,0.29288918004942,0.237574887311097,0.136165350624172,0.143708208724852,1.14886389191922
720,0.255174889546018,0.240368538459497,0.136444715739012,0.144825669184212,1.26843216107075
730,0.262159017417018,0.247352666330497,0.140914557576452,0.150971701710692,1.03432419483482
740,0.272774891780939,0.349600298361943,0.141473287806132,0.152927257514572,1.02063530420766
750,0.269143145288018,0.256851080235058,0.141752652920972,0.155720908662973,1.06868610396014
760,0.275289177814499,0.264114573220898,0.143708208724852,0.158793924926213,1.19942897770527
770,0.273612987125459,0.353790775084543,0.145943129643572,0.160190750500413,1.05834959471106
780,0.373066968008504,0.269701875517698,0.166057417912053,0.164101862108173,1.10416547354482
790,0.29009552890102,0.370552681974944,0.147339955217772,0.166616148141733,1.08181626435762
800,0.385638398176305,0.279479654537099,0.152089162170052,0.168851069060453,1.17121310110643
810,0.385917763291145,0.373066968008504,0.151809797055212,0.260203461613138,1.13014642922494
820,0.327530454289582,0.287022512637779,0.152647892399732,0.173879641127573,1.32570200961295
830,0.30127013349462,0.29428600562362,0.156838369122333,0.176114562046294,1.22596866361507
840,0.309930452054661,0.387314588865345,0.156559004007493,0.190920913132814,1.42124487888824
850,0.321663786877941,0.29987330792042,0.165498687682373,0.181701864343094,1.33547978863235
860,0.326692358945061,0.332559026356702,0.160470115615253,0.216901868812936,1.27541628894175
870,0.339822519342542,0.311327277628861,0.185892341065694,0.188406627099254,1.31704169105291
880,0.458552693149548,0.412178084086106,0.164381227223013,0.195111389855415,1.64976554282737
890,0.324457438026341,0.401282844607345,0.164939957452693,0.188685992214094,1.31452740501935
900,0.426705070057787,0.410781258511906,0.164939957452693,0.195390754970255,1.39526392320812
910,0.331441565897342,0.414692370119666,0.166616148141733,0.187009801525054,1.44359408807544
920,0.340381249572222,0.325854263600541,0.171085989979173,0.198184406118655,1.28184168658307
930,0.443466976948188,0.340381249572222,0.169968529519813,0.192317738707014,1.40504170222752
940,0.448495549015308,0.342336805376102,0.171644720208853,0.194273294510895,1.45420996243936
950,0.446539993211428,0.430895546780387,0.174438371357254,0.210476471171615,1.44638773922384
960,0.473359044236069,0.463022534986989,0.175835196931454,0.212990757205176,1.42347979980696
970,0.464139995446349,0.397092367884745,0.176952657390814,0.215505043238736,1.70116872395793
980,0.458273328034708,0.350997123936143,0.178070117850174,0.219695519961336,1.81040048386038
990,0.478108251188349,0.391225700473105,0.180584403883734,0.221651075765216,1.5005845715028
1000,0.462743169872149,0.359378077381343,0.180863768998574,0.232546315243977,1.52265441557516
